№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
126;1118-1139009;;Бензостанция Калина;1250;;шт;10000;0;;;;;;0;;;
127;;;Бензостанция Приора;1250;;шт;10000;0;;;;;;0;;;
128;2123-1139009-20;;Бензостанция Шеви;1550;;шт;11000;1;;;;;;11000;;;
129;2101-3722000ст/об;;Блок предохранителей 06 ст/об;;665;шт;800;2;;;;;;1600;65935;;
130;2106-3722100;;Блок предохранителей 06 маленький;;315;шт;400;0;;;;;;0;1521;;
131;2101-3722000н/об;;Блок предохранителей 06 н/об;210;864;шт;1600;0;;;;;;0;9323;;
132;2110-3722010;;Блок предохранителя 010, 2123;1100;;шт;8000;0;;;;;;0;;;
133;2107-3722010;;Блок предохранителя 05 н/об;1270;5777;шт;8500;1;;;;;;8500;;;
134;2115-3722010-00;;Блок предохранителя 08 н/об;1500;;шт;11500;1;;;;;;11500;;;
135;2115-3722010-10;;Блок предохранителя 08 ст/об;1950;9102;шт;12500;1;;;;;;12500;;;
136;2110-8128020;;Блок управления печки 010 без климат контроля;780;;шт;5900;0;;;;;;0;3373;;
137;2110-8128020-02;;Блок управления печки 010 с климат контролем;780;;шт;5900;1;;;;;;5900;;;
138;21703-8121020-00;;Блок управления печки Приора с конд. HALLA ;4300;;шт;32000;0;;;;;;0;Т5784;;
139;2107-1701050;;Блок шестерен 07;360;2800;шт;3500;1;;;;;;3500;6047;;
140;2101-14234830;;Болт 5-ой передачи 07;20;;шт;150;3;;;;;;450;5217;;
141;2101-3701376;;Болт генератора 01-08;30;;шт;250;0;;;;;;0;;;
142;2110-3701376;;Болт генератора 010;25;;шт;200;7;;;;;;1400;;;
143;2101-1003271;;Болт головки 01;20;;шт;150;8;;;;;;1200;;;
144;2108-1003271;;Болт головки 08;20;;шт;150;10;;;;;;1500;;;
145;21213-1003271;;Болт головки 213;20;;шт;150;10;;;;;;1500;;;
146;2112-1003271;;Болт головки 2112;20;;шт;150;4;;;;;;600;;;
147;2101-2201107-008;;Болт кардана с гайкой 01;6,5;;шт;50;40;;;;;;2000;;;
148;2101-3101040;;Болт колеса 01;8;;шт;70;20;;;;;;1400;;;
149;2108-3101040;;Болт колеса 08;8;;шт;70;18;;;;;;1260;;;
150;;;Болт КПП 01 (3 шт) кт без корзинки;2;;шт;20;0;;;;;;0;;;
151;2101-13303711/00001-0026069-708;;Болт КПП 01 с корзинкой цена за шт;2;;шт;50;0;;;;;;0;х1978;;
152;2108-11343821/00001-0058888-278;;Болт краба;25;;кт;200;3;;;;;;600;;;
153;М12*60*1.25 2108;;Болт развала/схождения 09;37;;шт;250;2;;;;;;500;6627;;
154;;;Болт распредвала;1;;шт;10;0;;;;;;0;;;
155;2101-1604062;;Болт шатуна 01 с гайкой;17;;шт;120;12;;;;;;1440;6624;;
156;21213-1604062;;Болт шатуна 213-010 с гайкой;17;;шт;120;0;;;;;;0;;;
157;2101-15541321;;Болт эластичной муфты с гайкой;14;;шт;100;20;;;;;;2000;;;
158;2110-16044321;;Болт глушителя 2110;30;;шт;300;0;;;;;;0;;;
159;2101-15542021;;Болт заднего амортизатора 06;60;;шт;450;10;;;;;;4500;6451;;
160;2101-15542121;;Болты реактивных тяг 2101;140;;кт;1100;2;;;;;;2200;6576;;
161;2121-15542121;;Болты реактивных тяг 21213;140;;кт;1100;0;;;;;;0;;;
162;2101-1702107/08/09;;Бочонки КПП 2101;20;;кт;150;0;;;;;;0;861;;
163;2101-2905450;;Бублик переднего амортизатора 06;4;;шт;30;22;;;;;;660;;;
164;21213-1203073;;Будильник заднего глушителя 010;26;;шт;200;18;;;;;;3600;т9130;;
165;;;В;;;;;0;;;;;;0;;;
166;2103-3510010;;Вакуум 01 ДААЗ;;3487;шт;4200;1;;;;;;4200;1459;;
167;2103-3510010-10;;Вакуум 01 ПАРКС;;2883;шт;3500;2;;;;;;7000;1814;;
168;21214-3510006-00;;Вакуум 214 в сборе;;10688;шт;13000;0;;;;;;0;;;
169;2108-3510010-01К;*;Вакуум 09 ;90;;шт;3500;0;;;;;;0;;;
170;2108-3510010-01;;Вакуум 09 ДААЗ;720;5131;шт;6200;0;;;;;;0;;;
171;2110-3510010;;Вакуум 2110;760;3437;шт;4500;1;;;;;;4500;4375;;
172;2123-3510006-11;;Вакуум Шеви, 1118 в сборе;2960;18429;шт;22000;0;;;;;;0;356;;
173;1118-3510010-10;;Вакуум Шеви, 1118 голый;1160;;шт;8500;0;;;;;;0;;;
174;вакуум трамблера;;Вакуум трамблера;;250;шт;500;0;;;;;;0;;;
175;21083-170110531СБ;;Вал вторичный КПП 09 с планетаркой;1100;;шт;8300;0;;;;;;0;67786;;
176;2110-1701105-00;;Вал вторичный КПП 010;650;;шт;4800;0;;;;;;0;8824;;
177;2105-1701105-10;;Вал вторичный КПП 01 4-х ступка;;3000;шт;3800;0;;;;;;0;;;
178;2123-1701105-00;;Вал вторичный КПП 07 5-ти ступка н/об;950;;шт;7000;0;;;;;;0;1339;;
179;2106-1701105-01;;Вал вторичный КПП 07 5-ти ступка ст/об;450;;шт;3800;0;;;;;;0;5775;;
180;2123-1701105;;Вал вторичный КПП 07 в сборе н/об;2100;;шт;15000;0;;;;;;0;115260;;
181;21083-1701105-31;;Вал вторичный КПП 09 ;;3500;шт;4200;0;;;;;;0;;;
182;2112-1701105-30;;Вал вторичный на новые шестерни (нем) 2+2 09;850;;шт;6500;0;;;;;;0;121466;;
183;2108-1701030;;Вал первичный 09 ВАЗ;750;2100;шт;5000;0;;;;;;0;121467;;
184;2105-1701026-01;;Вал первичный голый 18з;420;;шт;3100;4;;;;;;12400;у2305;;
185;2105-1701026-01ГОСТ;;Вал первичный голый 18з ВАЗ;500;;шт;3500;0;;;;;;0;68870;;
