№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
108;8200765567;;Кронштейн радитора правый Ларгус Renault;;2124;шт;3000;1;;;;;;3000;600100;;
109;546180001R;;Кронштейн стабилизатора переднего Дастер Asam;;2171;шт;3000;2;;;;;;6000;600875;;
110;7703179077;;Кронштейн фиксации упора капота палочки Ларгус Renault;;268;шт;500;2;;;;;;1000;600279;;
111;631017396R;;Крыло Сандеро переднее левое Api;;16865;шт;22000;1;;;;;;22000;601061;;
112;6001551026;;Крыло Сандеро переднее правое Api;;16865;шт;22000;1;;;;;;22000;601062;;
113;7700816919;;Крышка бачка ГУР Ларгус Renault;;894;шт;1400;2;;;;;;2800;600269;;
114;300539;;Крышка бензобака с ключом Ларгус Asam;;1103;шт;1500;0;;;;;;0;600506;;
115;8200062947;;Крышка масла Ларгус 16кл Asam;;751;шт;1200;2;;;;;;2400;600380;;
116;8450000254;;Крышка окна переднего буксира шагрень Renault Логан;;259;шт;500;3;;;;;;1500;600525;;
117;8200561420;;Крышка термостат Ларгус Sasic;;871;шт;1400;2;;;;;;2800;600634;;
118;;;Л;;;;;0;;;;;;0;;;
119;904520004R;;Лифт багажника Дастер Asam;;1757;шт;2500;2;;;;;;5000;600873;;
120;8200735264;;Лифт багажника Сандеро Asam;;1793;шт;2500;2;;;;;;5000;600874;;
121;8200276359;;Лягушка тормозная Дастер Fae;;1968;шт;3000;2;;;;;;6000;600929;;
122;253206170R;;Лягушка тормозная Ларгус Renault;;3374;шт;5000;1;;;;;;5000;600354;;
123;;;М;;;;;0;;;;;;0;;;
124;8200531505;;Молдинг арки задний левый Сандеро Тайвань;;5044;шт;7000;1;;;;;;7000;600848;;
125;8200531504;;Молдинг арки задний правый Сандеро Тайвань;;5044;шт;7000;1;;;;;;7000;600849;;
126;8200886740;;Молдинг арки передний левый Сандеро Francecar;;632;шт;1000;2;;;;;;2000;600759;;
127;8200886741;;Молдинг арки передний правый Сандеро Francecar;;632;шт;1000;2;;;;;;2000;600760;;
128;8200735133;;Молдинг двери задней Комплект Сандеро Francecar;;1677;шт;3000;2;;;;;;6000;600765;;
129;808725725R B;;Молдинг двери задней левый Дастер Francecar;;4261;шт;6000;1;;;;;;6000;600761;;
130;808725725R D;;Молдинг двери задний правый Дастер Francecar;;4261;шт;6000;1;;;;;;6000;600762;;
131;8200735137;;Молдинг двери передний Комплект Сандеро Francecar;;2974;шт;4000;2;;;;;;8000;600766;;
132;808725725R A;;Молдинг двери передний левый Дастер Francecar;;4261;шт;6000;1;;;;;;6000;600763;;
