№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
324;2107-3701010-04;;Генератор 07 инж 73А;2160;13072;шт;16000;0;;;;;;0;121492;;
325;2108-3701010-04ГОСТ;;Генератор 09 55А;2330;9817;шт;15000;1;;;;;;15000;117140;;
326;2108-3701010-04К;*;Генератор 09 ;210;7650;шт;9500;2;;;;;;19000;2065;;
327;1118-3701000ГОСТ;;Генератор 1118;2950;;шт;21000;0;;;;;;0;;;
328;1118-3701000Е;;Генератор 1118 ELDIX 90А;;13754;шт;16500;0;;;;;;0;5916;;
329;2101-3701005-00ГОСТ;;Генератор 2106 42А;1850;9378;шт;12000;1;;;;;;12000;117139;;
330;2110-3701010ГОСТ;;Генератор 2110;2220;;шт;15500;0;;;;;;0;121490;;
331;2110-3701010СВ;;Генератор 2110 СТАРТ ВОЛЬТ;;12143;шт;14600;1;;;;;;14600;у6867;;
332;2112-3701010-08;;Генератор 2112 ВАЗ ПРАМО;;11562;шт;14000;0;;;;;;0;;;
333;21213-3701010-00;;Генератор 213 55А;2630;11164;шт;16000;0;;;;;;0;120458;;
334;;*;Генератор 214 ;300;;шт;12000;0;;;;;;0;;;
335;21214-3701010-00ГОСТ;;Генератор 214 80А;2920;12410;шт;16000;0;;;;;;0;117138;;
336;21214-3701010-03;;Генератор 214 ВАЗ ПРАМО;;13488;шт;16200;0;;;;;;0;121489;;
337;21214-3701005;;Генератор 214 СТАРТ ВОЛЬТ;;11775;шт;14500;0;;;;;;0;;;
338;2170-3701010-10ГОСТ;;Генератор Гранта 115А;3200;;шт;22500;0;;;;;;0;;;
339;2112-3701010-07ГОСТ;;Генератор Приора;2530;;шт;18500;0;;;;;;0;;;
340;2170-3701010-10Е;;Генератор Приора ELDIX 115А;;12484;шт;16000;0;;;;;;0;66383;;
341;2123-3701000-023;;Генератор Шеви 80А;2480;11630;шт;16000;0;;;;;;0;т8791;;
342;2123-3701010-82;;Генератор Шеви ВАЗ ПРАМО;;13617;шт;16400;0;;;;;;0;;;
343;2123-3701005;;Генератор Шеви СТАРТ ВОЛЬТ;;12135;шт;14600;1;;;;;;14600;;;
344;2112-1007300;;Гидрокомпенсаторы 2112;1500;;кт;11000;1;;;;;;11000;726;;
345;21214-1007160;;Гидрокомпенсаторы 214;1200;;кт;12000;0;;;;;;0;1715;;
346;21214-1007160-21;;Гидрокомпенсаторы Шеви;1250;;кт;12000;1;;;;;;12000;;;
347;;;Гидрокомпенсаторы 214 деш Астана;;7100;кт;8500;0;;;;;;0;;;
348;;;Гидрокомпенсаторы Шеви деш Астана;;7100;кт;8500;0;;;;;;0;;;
349;21214-1006060ГОСТ;;Гидронатяжитель цепи 214;500;;шт;3700;0;;;;;;0;1118;;
350;21214-1006060К;;гидронатяжитель цепи 214 деш;350;;шт;2700;1;;;;;;2700;;;
351;76.0К;;Гильзы 76.0 Конотоп;600;3393;кт;4200;2;;;;;;8400;;;
352;82.0К;;Гильзы 82.0 Конотоп;650;3520;кт;4200;5;;;;;;21000;;;
353;;;"Гильзы ""Европа"" 76.0";;3400;кт;4000;0;;;;;;0;;;
354;;;"Гильзы ""Европа"" 79.0";;3400;кт;4000;1;;;;;;4000;;;
355;;;"Гильзы ""Европа"" 82.0";;3400;кт;4000;1;;;;;;4000;;;
356;79.0К;;Гильзы 79.0 Конотоп;600;3393;кт;4200;6;;;;;;25200;;;
357;76.0Т;;Гильзы 76.0 Ташкент ;3100;;кт;3800;1;;;;;;3800;;;
358;79.0Т;;Гильзы 79.0 Ташкент ;3100;;кт;3800;1;;;;;;3800;115887;;
359;82.0Т;;Гильзы 82.0 Ташкент ;3400;;кт;4100;1;;;;;;4100;;;
360;2112-1001300;;Гитара 010;200;;шт;1600;3;;;;;;4800;;;
361;2112-1001300-02;;Гитара 2170;;1530;шт;1900;1;;;;;;1900;;;
362;2104-1201005;;Глушитель основной 04;;2400;шт;2900;1;;;;;;2900;;;
363;2106-1201005;;Глушитель основной 07;2142;;шт;2600;0;;;;;;0;;;
364;2108-1201005;;Глушитель основной 08;2424;2200;шт;2800;1;;;;;;2800;;;
365;21099-1201005;;Глушитель основной 099;2499;2550;шт;3000;2;;;;;;6000;;;
366;2106-1201005В;;Глушитель основной 2106 ВАЗ;;2805;шт;3400;0;;;;;;0;;;
367;2110-1200010-01;;Глушитель основной 2110 до 2007 г.;;2300;шт;3000;3;;;;;;9000;;;
368;2114-1201005;;Глушитель основной 2114;;2300;шт;3300;1;;;;;;3300;117375;;
369;2115-1201005;;Глушитель основной 2115;;2700;шт;3300;0;;;;;;0;68152;;
370;2121-1201005;;Глушитель основной 2121;2567;2700;шт;3300;0;;;;;;0;;;
371;21213-1201005;;Глушитель основной 213;;2700;шт;3300;1;;;;;;3300;;;
372;2123-1201005;;Глушитель основной Шеви;;3400;шт;4200;0;;;;;;0;;;
373;2101-1203010;;Глушитель-приемная труба 01;;1761;шт;2100;1;;;;;;2100;;;
374;2108-1203010;;Глушитель-приемная труба 08;;1513;шт;1900;0;;;;;;0;;;
375;21213-1203010;;Глушитель-приемная труба 213;;2095;шт;2500;1;;;;;;2500;ф7571;;
