№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
;;;;;;;;;;;;;Итого:;20248320;;;
;;;Б;;;;;;;;;;;;;;
591;2115-6100040;;Личинки замков дверей 2115 в сборе ДААЗ;;1144;кт;1500;2;;;;;3000;1800;66515;;
592;2115-6105410;;Личинки замков дверей 2115 в сборе ФОРТЕКС;;777;кт;1000;9;;;;;9000;1200;114261;;
593;21213-6100045-10;;Личинки замков дверей 21213 в сборе ДААЗ;;477;кт;600;5;;;;;3000;720;117445;;
594;2123-2101610;;Личинки замков дверей 2123 гол ГрандРиал;;481;кт;700;3;;;;;2100;840;120486;;
595;2170-6100040;;Личинки замков дверей 2170 в сборе ;;704;кт;1100;4;;;;;4400;1320;119006;;
596;1118-8403281-99;;Лонжерон 1118-2190 лев АвтоВАЗ;;15490;шт;20000;1;;;;;20000;24000;118753;;
597;1118-8403280-99;;Лонжерон 1118-2190 пр АвтоВАЗ;;16863;шт;22000;1;;;;;22000;26400;118754;;
598;2108-8403281-00;;Лонжерон 2108 АвтоВаз лев;;7597;шт;10000;2;;;;;20000;12000;115533;;
599;2108-8403280-00;;Лонжерон 2108 АвтоВаз пр;;6259;шт;10000;2;;;;;20000;12000;115534;;
600;2110-8403281-60;;Лонжерон 2110 АвтоВаз левый;;7469;шт;10000;0;;;;;0;12000;;;
601;2110-8403280-60;;Лонжерон 2110 АвтоВаз правый;;2562;шт;10000;3;;;;;30000;12000;115535;;
602;2105-5101371;;Лонжерон заднего пола 2105 Ваз лев.;;1005;шт;1500;4;;;;;6000;1800;;;
603;2105-5101370-00;;Лонжерон заднего пола 2105 Ваз пр.;;1005;шт;1500;7;;;;;10500;1800;115646;;
604;2110-5101303-00;;Лонжерон пола 2110 АвтоВаз пер. Лев;;256;шт;500;3;;;;;1500;600;115833;;
605;2110-5101302-00;;Лонжерон пола 2110 АвтоВаз пер. прав.;;254;шт;500;3;;;;;1500;600;115834;;
606;1118-8413010;;Лючок бензобака 1118, 2190, Калина2;;1030;шт;2000;3;;;;;6000;2400;114992;;
607;2108-5413010;;Лючок бензобака 2108 АвтоВаз;;387;шт;800;2;;;;;1600;960;;;
608;2110-8413010;;Лючок бензобака 2110 АвтоВаз;;578;шт;800;1;;;;;800;960;114771;;
609;2170-8413010;;Лючок бензобака 2170, 2172 АвтоВАЗ;;1237;шт;2000;2;;;;;4000;2400;114993;;
610;2171-8413010;;Лючок бензобака 2171 АвтоВАЗ;;1248;шт;2000;2;;;;;4000;2400;119976;;
611;;;М;;;;;0;;;;;0;0;;;
612;21704-2803053-00;;Молдинг бампера 21704 низ лев;;666;шт;1000;3;;;;;3000;1200;116526;;
613;21704-2803052-00;;Молдинг бампера 21704 низ пр;;666;шт;1000;4;;;;;4000;1200;116527;;
614;2101-lada;;Молдинг дверей 2101 LADA самоклеющийся;;872;шт;1200;4;;;;;4800;1440;;;
615;2101-06-5003004;;Молдинг дверей 2101-2106;;2506;кт;3000;5;;;;;15000;3600;57;;
616;2109-узкая;;Молдинг дверей 2109 SAMARA самоклеющийся;;880;шт;1200;5;;;;;6000;1440;5814;;
617;2114-8212155-10;;Молдинг двери 2114 задний лев н/об;;432;шт;1000;9;;;;;9000;1200;112901;;
618;2114-8212154-10;;Молдинг двери 2114 задний пр н/об;;432;шт;1000;9;;;;;9000;1200;117885;;
619;2114-8212145-10;;Молдинг двери 2114 передний лев н/об;;456;шт;1000;9;;;;;9000;1200;117887;;
620;2114-8212144-10;;Молдинг двери 2114 передний пр н/об;;456;шт;1000;8;;;;;8000;1200;117886;;
621;2170-ХРОМДВЕРЬ;;Молдинг двери 2170 Хром;;3769;кт;5000;1;;;;;5000;6000;С8163      ;;
622;2190-8212151-00;;Молдинг двери 2190 задний лев;;1182;шт;1500;4;;;;;6000;1800;117704;;
623;2190-8212150-00;;Молдинг двери 2190 задний пр;;959;шт;1500;4;;;;;6000;1800;117703;;
624;2190-8212141-00;;Молдинг двери 2190 передний лев;;1047;шт;1500;4;;;;;6000;1800;117702;;
625;2190-8212140-00;;Молдинг двери 2190 передний пр;;1236;шт;1500;4;;;;;6000;1800;117701;;
626;2170-8402104;;Молдинг капота 2170 Хром;;960;шт;2000;8;;;;;16000;2400;;;
627;2114-8212134-10;;Молдинг крыла 2114 левый н/об;;198;шт;700;10;;;;;7000;840;117704;;
628;2112-8212133-10;;Молдинг крыла 2114 правый н/об;;198;шт;700;10;;;;;7000;840;117889;;
629;2106-молди;;Молдинг порога жигули;;862;кт;1200;0;;;;;0;1440;1121;;
630;2192-2803083-00;;Молдинг рамки противотуманной фары 2192 лев;;1251;шт;2000;1;;;;;2000;2400;;;
631;2192-2803082-00;;Молдинг рамки противотуманной фары 2192 пр;;1251;шт;2000;2;;;;;4000;2400;117609;;
632;21704-2803242-00;;Молдинг решетки радиатора 21704 гальваника;;1605;шт;3000;3;;;;;9000;3600;;;
633;2190-2803242-00;;Молдинг решетки радиатора 2190 гальваника;;1395;шт;3000;24;;;;;72000;3600;;;
634;2192-2803242-00;;Молдинг решетки радиатора Калина-2 2192 гальваника;;1824;шт;3000;4;;;;;12000;3600;120478;;
635;8450000247;;Молдинг решетки радиатора Ларгус черн;;410;шт;1000;1;;;;;1000;1200;118200;;
636;8450000246;;Молдинг решетки радиатора Ларгус хром;;3318;шт;4300;1;;;;;4300;5160;;;
637;21704-8232010-704;;Муляж аэрбага 2170 н/об;950;5800;шт;7000;1;;;;;7000;8400;;;
638;2172-8232010-72;;Муляж аэрбага 2170 ст/об;350;2500;шт;3000;1;;;;;3000;3600;;;
639;21910-8232010-90;;Муляж аэрбага 2190;900;5800;шт;7000;4;;;;;28000;8400;;;
640;2170-8233020-70;;Муляж аэрбага 2170 на панель;600;4100;шт;5000;1;;;;;5000;6000;;;
641;2190-8233020-0090;;Муляж аэрбага 2190 на панель ;950;5800;шт;7000;1;;;;;7000;8400;;;
642;;;Н;;;;;0;;;;;0;0;;;
643;2106-2803052-53;;Накладка бампера 2106 (пара)                                                                        ;;111;кт;200;19;;;;;3800;240;;;
644;2105-2803153/52;;накладка бампера 2105 (пара) передние;150;878;кт;1200;4;;;;;4800;1440;117911;;
645;2107-280300-1;;Накладка бампера 2107 задняя                                                                        ;310;1815;шт;2500;20;;;;;50000;3000;3964;;
646;2107-280300-2;;Накладка бампера 2107 передняя                                                                      ;310;1815;шт;2500;22;;;;;55000;3000;1142;;
647;2121-2804153-10;;Накладка бампера 2121 боковая задняя пр+лев;;366;кт;600;12;;;;;7200;720;;;
648;2121-2803153;;Накладка бампера 2121 боковая передняя пр+лев;;403;кт;600;9;;;;;5400;720;;;
649;2108-8212305;;Накладка заднего крыла 2108 банан лев;;100;шт;150;8;;;;;1200;180;116157;;
650;2108-8212304;;Накладка заднего крыла 2108 банан пр;;96;шт;150;8;;;;;1200;180;115751;;
651;21213-00002;;Накладка заднего фонаря 213 неокрашенная;100;586;кт;1000;0;;;;;0;1200;;;
652;21213-00003;;Накладка заднего фонаря 213 серебро;220;1288;кт;1700;3;;;;;5100;2040;;;
653;2170-8212526;;Накладка крышки багажника 2170 Хром;;1985;шт;3000;3;;;;;9000;3600;113501;;
654;2171-8212526;;Накладка крышки багажника 2171 под покраску;;927;шт;1500;5;;;;;7500;1800;;;
655;2110ЕВРОК;;"Накладка на панель 2110 ЕВРО ""кормушка""";;888;шт;1200;3;;;;;3600;1440;68312;;
656;2105-5701040,41;;Накладка наружной стойки 2105 (вентил. реш.);;74;кт;200;1;;;;;200;240;;;
657;2105-5701040/41-Х;;Накладка наружной стойки 2105 (вентил. реш.) ХРОМ;;225;кт;400;8;;;;;3200;480;Т3862      ;;
658;2106 евро;;Накладка панели 2106 евро;;1311;шт;2500;3;;;;;7500;3000;117893;;
659;2107 евро;;Накладка панели 2107 евро;;1596;шт;2500;3;;;;;7500;3000;117896;;
660;2108-5325180;;Накладка панели 2108 евро низкая панели;;3483;шт;4500;2;;;;;9000;5400;118279;;
