№;Номер;Наименование;Цена руб (Бадин);Цена тг (Астана);Ед. измерения;Цена;Остаток;Продано;Купить;Заявка;Заказ;Цена общая;Цена + 20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;3500290;Итого;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;21704-2803132-00;Балка бампера 21704 пер;;1857;шт;3000;1;;;;;3000;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2171-2804142-00;Балка бампера 2171 задн;;5332;шт;7000;0;;;;;0;8400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2172-2804142-00;Балка бампера 2172 задн;;2779;шт;4000;1;;;;;4000;4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2190-2803131-00;Балка бампера 2190 пер жел;;1460;шт;2200;3;;;;;6600;2640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;6001551322;Балка бампера Ларгус-Api пер;;10044;шт;13000;0;;;;;0;15600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;21704-2804142-00;балка бампера зад 21704 н/о;;2071;шт;3000;1;;;;;3000;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;21724-2804142-00;балка бампера зад 21724 н/о;;2228;шт;4000;1;;;;;4000;4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;2108-9404400-87;балка передняя 2108 спорт;;72765;шт;9500;0;;;;;0;11400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1118-2904400-87;Балка передняя 1118 АвтоВаз СПОРТ;;5797;шт;8000;0;;;;;0;9600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;2110-2904400-87;Балка передняя 2110 АвтоВаз СПОРТ;;10835;шт;14500;0;;;;;0;17400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;2105-2804015;Бампер 05 в сборе зад;590;3455;шт;4500;2;;;;;9000;5400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;2105-2803015-01;Бампер 05 в сборе перед;590;3455;шт;4500;2;;;;;9000;5400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;2106-2804012-10;Бампер 06 зад голый;440;2394;шт;3000;1;;;;;3000;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2106-2803012-10;Бампер 06 перед голый;440;2394;шт;3000;1;;;;;3000;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2110-2804015-01;Бампер 2110 зад ЗАВОД;;9500;шт;10500;0;;;;;0;12600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2110-2804015-42;Бампер 2110 зад;780;4568;шт;6000;0;;;;;0;7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2110-2803015-01;Бампер 2110 перед Завод;;9500;шт;9000;0;;;;;0;10800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2110-2803015-42;Бампер 2110 перед;820;4115;шт;7500;0;;;;;0;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;2113-2804015-02;Бампер 2114 зад;770;8421;шт;10000;1;;;;;10000;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;2115-2804015-32;Бампер 2115 зад;;8421;шт;10000;0;;;;;0;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;2121-2803132;Бампер 213 в сборе перед;1450;5122;шт;6500;1;;;;;6500;7800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;2107-2804015-10;Бампер задний 2107                                                                                  ;310;1815;шт;2300;2;;;;;4600;2760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1117-2804015-01;Бампер задний 1117;;9877;шт;12500;0;;;;;0;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1118-2804015;Бампер задний 1118;;7300;шт;9500;0;;;;;0;11400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1119-2804015;Бампер задний 1119 ;;6673;шт;9500;0;;;;;0;11400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1118-2803015-72;Бампер Калина перед;680;7886;шт;10000;0;;;;;0;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2190-2804015-00;Бампер Калина-2 задн 2192 без парктроников;;7802;шт;12000;1;;;;;12000;14400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2194-2804015-01;Бампер Калина-2 задн 2194 без парктроников;;7858;шт;12000;1;;;;;12000;14400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2192-2803015-01;Бампер Калина-2 пер 2192;;7838;шт;12000;1;;;;;12000;14400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2107-2803015-10;Бампер передний 2107                                                                                ;300;1757;шт;2300;2;;;;;4600;2760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;2108-2803015;бампер передний 2108;910;6156;шт;7500;1;;;;;7500;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;2108-2804015;бампер задний 2108;;5649;шт;7500;1;;;;;7500;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;21099-2804015;бампер задний 21099;;5538;шт;8500;0;;;;;0;10200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;2113-2803015-02;Бампер передний 2114 голый;;4477;шт;7500;1;;;;;7500;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
