№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
254;77720;;Съемник сайлентблоков полный Снрвис Ключ;;994;шт;1300;2;;;;;;2600;3116;;
255;77767;;Съемник стойки задней 2108 Серви Ключ;;552;шт;750;2;;;;;;1500;1666;;
256;77766;;Съемник стойки передней 2108 Сервис Ключ;;567;шт;750;2;;;;;;1500;1667;;
257;71721;;Съемник стопорного кольца кривой разжим Сервис Ключ;;334;шт;450;2;;;;;;900;5363;;
258;71723;;Съемник стопорного кольца кривой сжимной Сервис Ключ;;334;шт;450;2;;;;;;900;119027;;
259;71722;;Съемник стопорного кольца прямой разжим Сервис Ключ;;334;шт;450;2;;;;;;900;119026;;
260;71724;;Съемник стопорного кольца прямой сжимной Сервис Ключ;;334;шт;450;2;;;;;;900;119028;;
261;;;Т;;;;;0;;;;;;0;;;
262;ATD-01;;Термометр Airline с выносным датчиком;;697;шт;1000;2;;;;;;2000;122292;;
263;АСА-01;;Трос буксировачный Airline 3т 4м канатный;;849;шт;1200;3;;;;;;3600;120860;;
264;ATR-S-5;;Трос буксировачный Airline 5т 4м;;631;шт;900;3;;;;;;2700;117345;;
265;;;Х;;;;;0;;;;;;0;;;
266;05101q;;Холодная вулканизация заплатки+клей №24;;99;шт;150;4;;;;;;600;ц2608;;
267;АВХИМ-332;;Холодная сварка герметик бензобака Лекар 25гр LK-0416 ;;121;шт;200;4;;;;;;800;67166;;
268;73202;;Хомут пластиковый 2.5х150 Сервис Ключ 1уп 100шт;;3;шт;5;100;;;;;;500;113087;;
269;73205;;Хомут пластиковый 3.6х200 Сервис Ключ 1уп 100шт;;3;шт;5;100;;;;;;500;114617;;
270;73206;;Хомут пластиковый 3.6х300 Сервис Ключ 1уп 100шт;;17;шт;25;100;;;;;;2500;114616;;
271;;;Ш;;;;;0;;;;;;0;;;
272;2108-1007056-2.50;;Шайба регулировки клапанов 2.50;;119;шт;200;10;;;;;;2000;Т3632;;
273;2108-1007056-2.52;;Шайба регулировки клапанов 2.52;;130;шт;200;10;;;;;;2000;Т3633;;
274;2108-1007056-2.55;;Шайба регулировки клапанов 2.55;;119;шт;200;10;;;;;;2000;Т3634;;
275;2108-1007056-2.57;;Шайба регулировки клапанов 2.57;;130;шт;200;10;;;;;;2000;Т3635;;
276;2108-1007056-2.60;;Шайба регулировки клапанов 2.60;;94;шт;200;10;;;;;;2000;Т3636;;
277;2108-1007056-2.62;;Шайба регулировки клапанов 2.62;;130;шт;200;10;;;;;;2000;Т3637;;
278;2108-1007056-2.65;;Шайба регулировки клапанов 2.65;;119;шт;200;10;;;;;;2000;Т3638;;
279;2108-1007056-2.67;;Шайба регулировки клапанов 2.67;;130;шт;200;10;;;;;;2000;Т3639;;
280;2108-1007056-2.70;;Шайба регулировки клапанов 2.70;;119;шт;200;10;;;;;;2000;Т3640;;
281;2108-1007056-2.72;;Шайба регулировки клапанов 2.72;;130;шт;200;10;;;;;;2000;Т3641;;
282;2108-1007056-2.75;;Шайба регулировки клапанов 2.75;;130;шт;200;10;;;;;;2000;Т3642;;
283;2108-1007056-2.77;;Шайба регулировки клапанов 2.77;;130;шт;200;10;;;;;;2000;Т3643;;
284;2108-1007056-2.80;;Шайба регулировки клапанов 2.80;;93;шт;200;10;;;;;;2000;Т3644;;
285;2108-1007056-2.82;;Шайба регулировки клапанов 2.82;;130;шт;200;10;;;;;;2000;Т3645;;
286;2108-1007056-2.85;;Шайба регулировки клапанов 2.85;;93;шт;200;10;;;;;;2000;Т3646;;
287;2108-1007056-2.87;;Шайба регулировки клапанов 2.87;;94;шт;200;10;;;;;;2000;Т3647;;
288;2108-1007056-2.90;;Шайба регулировки клапанов 2.90;;119;шт;200;10;;;;;;2000;Т3648;;
289;2108-1007056-2.92;;Шайба регулировки клапанов 2.92;;132;шт;200;10;;;;;;2000;Т3649;;
290;2108-1007056-2.95;;Шайба регулировки клапанов 2.95;;106;шт;200;10;;;;;;2000;Т3650;;
291;2108-1007056-2.97;;Шайба регулировки клапанов 2.97;;94;шт;200;10;;;;;;2000;Т3651;;
292;2108-1007056-3.0;;Шайба регулировки клапанов 3.0;;126;шт;200;10;;;;;;2000;Т3546;;
293;2108-1007056-3.05;;Шайба регулировки клапанов 3.05;;94;шт;200;10;;;;;;2000;Т3547;;
294;2108-1007056-12-В;;Шайба регулировки клапанов 3.15;;93;шт;200;10;;;;;;2000;Т3548;;
295;2108-1007056-13-В;;Шайба регулировки клапанов 3.20;;93;шт;200;10;;;;;;2000;Т3628;;
296;2108-1007056-14-В;;Шайба регулировки клапанов 3.25;;93;шт;200;10;;;;;;2000;Т3549;;
297;2108-1007056-3.27;;Шайба регулировки клапанов 3.27;;94;шт;200;10;;;;;;2000;Т3657;;
298;2108-1007056-15-В;;Шайба регулировки клапанов 3.30;;93;шт;200;10;;;;;;2000;Т3550;;
299;2108-1007056-16-В;;Шайба регулировки клапанов 3.35;;94;шт;200;10;;;;;;2000;Т3551;;
300;2108-1007056-3.37-ВАЗ;;Шайба регулировки клапанов 3.37;;93;шт;200;10;;;;;;2000;т9845;;
301;2108-1007056-18;;Шайба регулировки клапанов 3.40;;94;шт;200;10;;;;;;2000;Т5216;;
302;2108-1007056-3.42;;Шайба регулировки клапанов 3.42;;94;шт;200;10;;;;;;2000;Т3561;;
303;2108-1007056-3.45;;Шайба регулировки клапанов 3.45;;94;шт;200;10;;;;;;2000;Т3562;;
304;2108-1007056-3.47;;Шайба регулировки клапанов 3.47;;94;шт;200;10;;;;;;2000;Т3563;;
305;2108-1007056-3.50;;Шайба регулировки клапанов 3.50;;94;шт;200;10;;;;;;2000;Т3564;;
306;2108-1007056-3.52;;Шайба регулировки клапанов 3.52;;94;шт;200;10;;;;;;2000;Т3565;;
307;2108-1007056-24-В;;Шайба регулировки клапанов 3.55;;94;шт;200;10;;;;;;2000;Т5217;;
308;2108-1007056-3.57;;Шайба регулировки клапанов 3.57;;94;шт;200;10;;;;;;2000;Т3566;;
309;2108-1007056-3.60;;Шайба регулировки клапанов 3.60;;93;шт;200;10;;;;;;2000;Т8764;;
310;2108-1007056-3.62;;Шайба регулировки клапанов 3.62;;94;шт;200;10;;;;;;2000;Т3567;;
311;2108-1007056-3.65;;Шайба регулировки клапанов 3.65;;94;шт;200;10;;;;;;2000;Т7832;;
312;2108-1007056-3.67;;Шайба регулировки клапанов 3.67;;94;шт;200;10;;;;;;2000;Т3568;;
313;2108-1007056-3.70;;Шайба регулировки клапанов 3.70;;94;шт;200;10;;;;;;2000;Т3569;;
314;2108-1007056-3.72;;Шайба регулировки клапанов 3.72;;111;шт;200;10;;;;;;2000;Т3570;;
315;2108-1007056-3.75;;Шайба регулировки клапанов 3.75;;93;шт;200;10;;;;;;2000;Т3571;;
316;2108-1007056-3.77;;Шайба регулировки клапанов 3.77;;93;шт;200;10;;;;;;2000;Т3572;;
317;2108-1007056-3.80;;Шайба регулировки клапанов 3.80;;93;шт;200;10;;;;;;2000;Т3573;;
318;2108-1007056-3.82;;Шайба регулировки клапанов 3.82;;93;шт;200;10;;;;;;2000;у1792;;
319;2108-1007056-3.85;;Шайба регулировки клапанов 3.85;;93;шт;200;10;;;;;;2000;Т7833;;
320;2108-1007056-3.87;;Шайба регулировки клапанов 3.87;;94;шт;200;10;;;;;;2000;Т3574;;
321;2108-1007056-3.90;;Шайба регулировки клапанов 3.90;;94;шт;200;10;;;;;;2000;Т3575;;
322;2108-1007056-3.92;;Шайба регулировки клапанов 3.92;;93;шт;200;10;;;;;;2000;Т114037;;
323;2108-1007056-3.95;;Шайба регулировки клапанов 3.95;;93;шт;200;10;;;;;;2000;Т7834;;
324;2108-1007056-3.97;;Шайба регулировки клапанов 3.97;;94;шт;200;10;;;;;;2000;Т3576;;
325;2108-1007056-4.00;;Шайба регулировки клапанов 4.00;;93;шт;200;10;;;;;;2000;Т5218;;
326;2108-1007056-4.02;;Шайба регулировки клапанов 4.02;;94;шт;200;10;;;;;;2000;Т3577;;
327;2108-1007056-4.05;;Шайба регулировки клапанов 4.05;;94;шт;200;10;;;;;;2000;Т5190;;
328;2108-1007056-4.07;;Шайба регулировки клапанов 4.07;;93;шт;200;10;;;;;;2000;Т3578;;
329;2108-1007056-4.10;;Шайба регулировки клапанов 4.10;;93;шт;200;10;;;;;;2000;Т7835;;
330;2108-1007056-4.12;;Шайба регулировки клапанов 4.12;;93;шт;200;10;;;;;;2000;Т3579;;
331;2108-1007056-4.15;;Шайба регулировки клапанов 4.15;;93;шт;200;10;;;;;;2000;Т3580;;
332;2108-1007056-4.17;;Шайба регулировки клапанов 4.17;;133;шт;200;10;;;;;;2000;у0113;;
333;2108-1007056-4.20;;Шайба регулировки клапанов 4.20;;93;шт;200;10;;;;;;2000;Т3581;;
334;2108-1007056-4.22;;Шайба регулировки клапанов 4.22;;130;шт;200;10;;;;;;2000;Т3582;;
335;2108-1007056-4.25;;Шайба регулировки клапанов 4.25;;93;шт;200;10;;;;;;2000;Т3583;;
336;2108-1007056-4.27;;Шайба регулировки клапанов 4.27;;93;шт;200;10;;;;;;2000;Т3584;;
337;2108-1007056-4.30;;Шайба регулировки клапанов 4.30;;94;шт;200;10;;;;;;2000;Т5191;;
338;2108-1007056-4.32;;Шайба регулировки клапанов 4.32;;93;шт;200;10;;;;;;2000;114041;;
339;2108-1007056-4.35;;Шайба регулировки клапанов 4.35;;119;шт;200;10;;;;;;2000;Т5192;;
340;2108-1007056-4.37;;Шайба регулировки клапанов 4.37;;119;шт;200;10;;;;;;2000;Т5220;;
341;2108-1007056-4.42;;Шайба регулировки клапанов 4.42;;107;шт;200;10;;;;;;2000;Т5221;;
342;2108-1007056-4.45;;Шайба регулировки клапанов 4.45;;93;шт;200;10;;;;;;2000;Т5219;;
343;2108-1007056-4.47;;Шайба регулировки клапанов 4.47;;93;шт;200;10;;;;;;2000;Т5222;;
344;2108-1007056-4.50;;Шайба регулировки клапанов 4.50;;93;шт;200;10;;;;;;2000;Т5193;;
345;ASPS-60-01;;Шторка солнцезащитная Airline 60*125*60*125см на лобовое стекло;;283;шт;400;5;;;;;;2000;121036;;
346;ASPS-70-02;;Шторка солнцезащитная Airline 70*120*70*135см на лобовое стекло;;338;шт;450;3;;;;;;1350;118247;;
347;AB-F-02;;Щетка для сух чистки авто Airline большая 65см;;940;шт;1200;3;;;;;;3600;Т8326;;
348;AB-F-03;;Щетка для сух чистки авто Airline средняя 35см;;290;шт;450;3;;;;;;1350;ф4511;;
349;70616;;Щетка по металлу 1рядная Сервис Ключ;;148;шт;200;2;;;;;;400;120772;;
350;70613;;Щуп наборный Сервис Ключ 13 листов;;267;шт;400;2;;;;;;800;3176;;
351;70614;;Щуп наборный Сервис Ключ 20 листов;;376;шт;500;2;;;;;;1000;у0376;;
