№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
66;77527;;Головка 27мм Сервис Ключ;;362;шт;480;2;;;;;;960;119050;;
67;AB-T-03;;Губка для мытья автомобилей Airline восьмерка гранд;;222;шт;350;5;;;;;;1750;118246;;
68;AB-T-05;;Губка для мытья автомобилей Airline кирпич оранж;;77;шт;200;5;;;;;;1000;116258;;
69;АВ-К-02;;Губка для мытья автомобилей микрофибра из коралловой ткани ;;236;шт;350;5;;;;;;1750;118235;;
70;;;Д;;;;;0;;;;;;0;;;
71;ADRL-01W16-01;;Дневные ходовые огни Airline 0,1Вт*16LED;;1715;кт;2500;2;;;;;;5000;ц0577;;
72;ADRL-03W10-02;;Дневные ходовые огни Airline 0,3Вт*10LED;;2563;кт;3500;2;;;;;;7000;ц0579;;
73;;;З;;; ;;0;;;;;;0;;;
74;ACH-15A-05;;Зарядное усторойство Airline 15А 12V, амперметр, ручной и автоматический режим;;5792;шт;7500;1;;;;;;7500;121332э;;
75;ACH-2U-04;;Зарядное усторойство для телефона Airline 2*USB;;892;шт;1200;3;;;;;;3600;120958;;
76;AT-01;;Знак аварийный Airline компакт;;279;шт;400;4;;;;;;1600;116257;;
77;;;И ;;;;;;;;;;;0;;;
78;PVCGLOBE_15mm-8yd;;Изолента PVC GLOBE 15mm;;54;шт;70;10;;;;;;700;5353;;
79;;;К;;;;;0;;;;;;0;;;
80;AILTECO-клей;;Клей - Супер ALTECO 3гр (блистер);;45;шт;60;1;;;;;;60;6951;;
81;клей_100;;Клей эпоксидный ЭДП 100гр;;297;шт;450;10;;;;;;4500;3817;;
82;РЕКАРДО;;"Клемма АКБ ""+"" ""-"" Рекардо";;258;кт;400;5;;;;;;2000;114120;;
83;73100;;"Клемма АКБ ""+"" ""-"" Сервис Ключ ";;281;кт;400;2;;;;;;800;120770;;
